speciesKey,species,decimalLatitude,decimalLongitude,year,countryCode,taxonRank
,,-0.209593,29.892372,2025,UG,GENUS
6066519.0,Microcarbo africanus,-0.209608,29.892387,2025,UG,SPECIES
2492709.0,Apalis cinerea,-0.996206,29.614624,2025,UG,SPECIES
9797180.0,Ardea cinerea,-0.209599,29.892374,2025,UG,SPECIES
2481719.0,Tringa stagnatilis,-0.209591,29.892378,2025,UG,SPECIES
2484871.0,Laniarius erythrogaster,-0.209589,29.892378,2025,UG,SPECIES
5229130.0,Vanellus crassirostris,-0.443518,29.83514,2025,UG,SPECIES
2478924.0,Pogoniulus scolopaceus,-0.987695,29.615854,2025,UG,SPECIES
2480764.0,Threskiornis aethiopicus,-0.209564,29.892365,2025,UG,SPECIES
7340458.0,Bleda syndactylus,-0.987978,29.615604,2025,UG,SPECIES
5789085.0,Parmoptila jamesoni,-0.996242,29.614595,2025,UG,SPECIES
9566659.0,Charadrius hiaticula,-0.209593,29.892372,2025,UG,SPECIES
5229142.0,Vanellus spinosus,-0.209609,29.892345,2025,UG,SPECIES
5229126.0,Himantopus himantopus,-0.141069,29.887218,2025,UG,SPECIES
2480454.0,Haliaeetus vocifer,-0.209607,29.892382,2025,UG,SPECIES
7341507.0,Lamprotornis purpuroptera,-0.6306,29.700073,2025,UG,SPECIES
2489053.0,Buphagus africanus,-0.20958,29.892376,2025,UG,SPECIES
9772663.0,Leptoptilos crumenifer,-0.209564,29.892365,2025,UG,SPECIES
2478924.0,Pogoniulus scolopaceus,-0.988299,29.615141,2025,UG,SPECIES
5229142.0,Vanellus spinosus,-0.141069,29.887218,2025,UG,SPECIES
2493995.0,Malimbus rubricollis,-0.999479,29.615934,2025,UG,SPECIES
6065820.0,Chroicocephalus cirrocephalus,-0.2096,29.892376,2025,UG,SPECIES
5229126.0,Himantopus himantopus,-0.209609,29.892345,2025,UG,SPECIES
2487933.0,Parus funereus,-0.999479,29.615934,2025,UG,SPECIES
2482095.0,Burhinus vermiculatus,-0.209579,29.892363,2025,UG,SPECIES
1074277.0,Augosoma centaurus,2.146305,10.614992,2025,GQ,SPECIES
7340891.0,Chalcomitra fuliginosa,0.622225,9.349971,2025,GA,SPECIES
2475429.0,Merops variegatus,0.620791,9.347102,2025,GA,SPECIES
2402307.0,Pantodon buchholzi,0.601819,14.900562,2025,CG,SPECIES
2232236.0,Ethmostigmus trigonopodus,-3.995526,11.320611,2025,CG,SPECIES
2484628.0,Vidua macroura,-4.248128,15.30431,2025,CG,SPECIES
2480420.0,Pernis apivorus,-4.042385,11.354998,2025,CG,SPECIES
,,-2.460242,29.094964,2025,RW,GENUS
5231903.0,Cuculus solitarius,-0.592623,29.701902,2025,UG,SPECIES
5232096.0,Glaucidium tephronotum,-2.476767,29.178962,2025,RW,SPECIES
2492637.0,Pogonocichla stellata,-2.481983,29.187913,2025,RW,SPECIES
2492657.0,Melaenornis ardesiacus,-2.457428,29.107547,2025,RW,SPECIES
2486688.0,Terpsiphone viridis,-2.47919,29.197386,2025,RW,SPECIES
2458361.0,Buhoma depressiceps,-2.442844,29.081905,2025,RW,SPECIES
,,-2.4579,29.096378,2025,RW,GENUS
1097563.0,Amphidesmus platypterus,-3.99367,11.315029,2025,CG,SPECIES
2469682.0,Adolfus jacksoni,-1.446332,29.741577,2025,RW,SPECIES
10800815.0,Zosterops stuhlmanni,-2.477979,29.19964,2025,RW,SPECIES
2494058.0,Ploceus cucullatus,-0.592128,29.726812,2025,UG,SPECIES
5228294.0,Eurystomus glaucurus,-1.884307,9.299654,2025,GA,SPECIES
1422983.0,Pseudagrion camerunense,-1.981456,9.356147,2025,GA,SPECIES
5228340.0,Halcyon senegalensis,-1.885608,9.295793,2025,GA,SPECIES
5219570.0,Cercopithecus cephus,-1.803376,9.217609,2025,GA,SUBSPECIES
5135931.0,Acraea camaena,-1.879472,9.280639,2025,GA,SPECIES
2475445.0,Merops bullockoides,-4.578512,11.829097,2025,CG,SPECIES
2481208.0,Rynchops flavirostris,-1.808777,9.333579,2025,GA,SPECIES
2493660.0,Estrilda astrild,-1.881424,9.280875,2025,GA,SPECIES
2475223.0,Corythaeola cristata,-1.874962,9.277046,2025,GA,SPECIES
,,-1.053032,29.630822,2025,UG,GENUS
5128597.0,Charaxes brutus,-1.446332,29.741577,2025,RW,SPECIES
2494063.0,Ploceus nigerrimus,-1.225466,10.585327,2025,GA,SPECIES
5141248.0,Graphium leonidas,-1.446332,29.741577,2025,RW,SPECIES
2436544.0,Cercocebus torquatus,-1.886063,9.393333,2025,GA,SPECIES
7340957.0,Cyanomitra verticalis,-1.879472,9.280639,2025,GA,SPECIES
2441247.0,Hippopotamus amphibius,-2.097151,9.338439,2025,GA,SPECIES
2495783.0,Treron calvus,-1.879472,9.280639,2025,GA,SPECIES
2435349.0,Loxodonta cyclotis,-1.864654,9.356955,2025,GA,SPECIES
2486092.0,Phyllastrephus scandens,-1.879472,9.280639,2025,GA,SPECIES
8335820.0,Lophoceros fasciatus,-1.879472,9.280639,2025,GA,SPECIES
5130467.0,Junonia sophia,-1.879472,9.280639,2025,GA,SPECIES
2482080.0,Anhinga rufa,-1.880872,9.282477,2025,GA,SPECIES
1428512.0,Tramea basilaris,-1.981456,9.356147,2025,GA,SPECIES
2480726.0,Pandion haliaetus,-1.880336,9.283057,2025,GA,SPECIES
7340957.0,Cyanomitra verticalis,-1.879472,9.280639,2025,GA,SPECIES
1428120.0,Rhyothemis notata,-1.88048,9.281004,2025,GA,SPECIES
1926551.0,Azanus isis,-4.577799,11.829599,2025,CG,SPECIES
2441034.0,Syncerus caffer,-1.903067,9.24472,2025,GA,SUBSPECIES
2493083.0,Phylloscopus laetus,-2.478351,29.19979,2025,RW,SPECIES
7589018.0,Thalasseus albididorsalis,-1.881091,9.286229,2025,GA,SPECIES
2480420.0,Pernis apivorus,-1.879472,9.280639,2025,GA,SPECIES
2490288.0,Anthus pallidiventris,-1.884694,9.283772,2025,GA,SPECIES
5229139.0,Vanellus lugubris,-1.879472,9.280639,2025,GA,SPECIES
2481713.0,Tringa glareola,-1.981456,9.356147,2025,GA,SPECIES
7589018.0,Thalasseus albididorsalis,-1.879472,9.280639,2025,GA,SPECIES
2481047.0,Falco peregrinus,-1.879472,9.280639,2025,GA,SPECIES
2435349.0,Loxodonta cyclotis,-1.94756,9.303945,2025,GA,SPECIES
2481047.0,Falco peregrinus,-1.88416,9.30193,2025,GA,SPECIES
5229154.0,Scopus umbretta,-1.981456,9.356147,2025,GA,SPECIES
5141248.0,Graphium leonidas,-1.880845,9.281014,2025,GA,SPECIES
1928192.0,Liptena undularis,-1.879472,9.280639,2025,GA,SPECIES
,,-1.879472,9.280639,2025,GA,GENUS
9398739.0,Trachylepis gonwouoi,4.161534,11.030507,2025,CM,SPECIES
2376966.0,Periophthalmus barbarus,-4.763278,11.855483,2025,CG,SPECIES
2436544.0,Cercocebus torquatus,-1.857424,9.240397,2025,GA,SPECIES
5228294.0,Eurystomus glaucurus,-1.879472,9.280639,2025,GA,SPECIES
2480659.0,Polyboroides typus,-1.881499,9.281175,2025,GA,SUBSPECIES
2493624.0,Lonchura cucullata,-1.223896,10.586186,2025,GA,SPECIES
5225334.0,Trachylepis affinis,-1.981456,9.356147,2025,GA,SPECIES
