speciesKey,species,decimalLatitude,decimalLongitude,year,countryCode,taxonRank
2489195.0,Phedina borbonica,-18.921808,48.40895,2025,MG,SPECIES
7587305.0,Eudromus striaticollis,-18.936227,48.411164,2025,MG,SPECIES
1405310.0,Paramantis viridis,-18.92195,48.40847,2025,MG,SPECIES
1428965.0,Palpopleura vestita,-18.92305,48.411858,2025,MG,SPECIES
9595397.0,Phelsuma quadriocellata,-20.515733,47.247795,2025,MG,SUBSPECIES
2445755.0,Uroplatus phantasticus,-18.926535,48.416838,2025,MG,SPECIES
2490309.0,Motacilla flaviventris,-18.94708,48.418741,2025,MG,SPECIES
10896946.0,Trichonephila inaurata,-21.262117,47.460108,2025,MG,SUBSPECIES
6893974.0,Grosphus madagascariensis,-18.926535,48.416838,2025,MG,SPECIES
1937692.0,Papilio epiphorbas,-21.261928,47.460072,2025,MG,SPECIES
2447447.0,Phelsuma lineata,-21.261713,47.455472,2025,MG,SUBSPECIES
9595397.0,Phelsuma quadriocellata,-21.261922,47.460033,2025,MG,SUBSPECIES
8164644.0,Uroplatus sameiti,-18.926535,48.416838,2025,MG,SPECIES
1932976.0,Leptotes pirithous,-22.56803,45.410678,2025,MG,SPECIES
5959930.0,Hemidactylus mercatorius,-21.261913,47.460063,2025,MG,SPECIES
5221973.0,Furcifer oustaleti,-21.83033,46.941578,2025,MG,SPECIES
4486330.0,Spilostethus pandurus,-22.567928,45.410575,2025,MG,SPECIES
1862293.0,Hippotion celerio,-23.122428,43.609833,2025,MG,SPECIES
5221973.0,Furcifer oustaleti,-16.321828,46.826425,2025,MG,SPECIES
2423373.0,Boophis pyrrhus,-18.926535,48.416838,2025,MG,SPECIES
5221973.0,Furcifer oustaleti,-22.567905,45.410737,2025,MG,SPECIES
2447446.0,Phelsuma standingi,-23.042057,43.693911,2025,MG,SPECIES
2457821.0,Leioheterodon modestus,-16.314558,46.814039,2025,MG,SPECIES
5959930.0,Hemidactylus mercatorius,-19.865117,47.036568,2025,MG,SPECIES
5220309.0,Pyxis arachnoides,-23.114361,43.664669,2025,MG,SPECIES
2374663.0,Zanclus cornutus,-23.141163,43.588808,2025,MG,SPECIES
2384460.0,Thalassoma hardwicke,-23.140511,43.589066,2025,MG,SPECIES
1687170.0,Colossopus grandidieri,-23.117267,43.625667,2025,MG,SPECIES
2374663.0,Zanclus cornutus,-23.140139,43.58857,2025,MG,SPECIES
5228294.0,Eurystomus glaucurus,-15.731071,49.985235,2025,MG,SPECIES
2468499.0,Chalarodon madagascariensis,-23.11773,43.627787,2025,MG,SPECIES
2468499.0,Chalarodon madagascariensis,-23.117594,43.627812,2025,MG,SPECIES
5221973.0,Furcifer oustaleti,-18.914438,47.552965,2025,MG,SPECIES
1404829.0,Tisma freyi,-18.926535,48.416838,2025,MG,SPECIES
5220309.0,Pyxis arachnoides,-23.089252,43.723541,2025,MG,SPECIES
9069202.0,Furcifer verrucosus,-23.118978,43.629478,2025,MG,SPECIES
2398340.0,Pomacentrus sulfureus,-23.140929,43.588799,2025,MG,SPECIES
2455374.0,Mimophis mahfalensis,-23.116575,43.625203,2025,MG,SPECIES
5220309.0,Pyxis arachnoides,-23.085623,43.609981,2025,MG,SPECIES
2447447.0,Phelsuma lineata,-18.886218,47.551051,2025,MG,SUBSPECIES
1785397.0,Schausilla obryzos,-23.118203,43.628162,2025,MG,SPECIES
1651891.0,Aedes aegypti,-23.122472,43.609804,2025,MG,SPECIES
7909495.0,Chromis fieldi,-23.140508,43.589014,2025,MG,SPECIES
2432415.0,Myotis goudotii,-21.309405,47.794684,2025,MG,SPECIES
5221988.0,Furcifer pardalis,-15.707042,50.009344,2025,MG,SPECIES
4266945.0,Varecia rubra,-15.626365,50.141221,2025,MG,SPECIES
7540870.0,Triaenops menamena,-21.30961,47.790709,2025,MG,SPECIES
7462894.0,Paremballonura atrata,-21.298744,47.781623,2025,MG,SPECIES
2480560.0,Buteo brachypterus,-15.487544,49.758231,2025,MG,SPECIES
10810698.0,Macronycteris commersonii,-20.093428,44.612644,2025,MG,SPECIES
2202102.0,Calmanesia erinaceus,-18.938271,48.413855,2025,MG,SPECIES
2486686.0,Terpsiphone mutata,-12.520957,49.171817,2025,MG,SPECIES
2423177.0,Mantella laevigata,-15.498688,49.764996,2025,MG,SPECIES
2449345.0,Brookesia superciliaris,-18.938271,48.413855,2025,MG,SPECIES
7342302.0,Corythornis madagascariensis,-18.938271,48.413855,2025,MG,SPECIES
5231953.0,Centropus toulou,-12.301209,49.400694,2025,MG,SPECIES
7986857.0,Calumma ambreense,-12.597283,49.055536,2025,MG,SPECIES
2436432.0,Indri indri,-18.977989,48.436611,2025,MG,SPECIES
2475440.0,Merops superciliosus,-12.260185,49.381396,2025,MG,SPECIES
6101109.0,Cinnyris sovimanga,-12.301933,49.394812,2025,MG,SPECIES
2457815.0,Leioheterodon madagascariensis,-12.288098,49.391014,2025,MG,SPECIES
,,-12.30231,49.394791,2025,MG,GENUS
7642610.0,Danaus chrysippus,-12.264689,49.38844,2025,MG,SPECIES
2465128.0,Sanzinia madagascariensis,-18.938271,48.413855,2025,MG,SPECIES
2494077.0,Foudia madagascariensis,-12.303016,49.394665,2025,MG,SPECIES
2447529.0,Phelsuma modesta,-23.122428,43.609833,2025,MG,SUBSPECIES
2447529.0,Phelsuma modesta,-23.122476,43.610374,2025,MG,SUBSPECIES
10101982.0,Ebenavia robusta,-18.946853,48.418815,2025,MG,SPECIES
2432987.0,Myzopoda aurita,-21.357846,47.809882,2025,MG,SPECIES
2452588.0,Dromicodryas bernieri,-21.381231,47.897304,2025,MG,SPECIES
7462894.0,Paremballonura atrata,-21.357846,47.809882,2025,MG,SPECIES
7462894.0,Paremballonura atrata,-21.355484,47.816815,2025,MG,SPECIES
4266938.0,Prolemur simus,-21.342726,47.877432,2025,MG,SPECIES
2480560.0,Buteo brachypterus,-21.339598,47.801485,2025,MG,SPECIES
5130392.0,Junonia oenone,-21.38016,47.884834,2025,MG,SUBSPECIES
1427721.0,Crocothemis erythraea,-21.38016,47.884834,2025,MG,SPECIES
1428965.0,Palpopleura vestita,-21.38016,47.884834,2025,MG,SPECIES
1429215.0,Tholymis tillarga,-21.38016,47.884834,2025,MG,SPECIES
